participant_id	gender	age	handedness
sub-001	M	22	R
sub-002	M	22	R
sub-003	M	27	R
sub-004	M	23	R
sub-005	M	24	R
sub-006	F	23	R
sub-007	M	24	R
sub-008	M	26	R
sub-009	M	23	R
sub-010	M	26	R
sub-011	M	22	R
sub-012	M	23	R
sub-013	M	23	R
sub-014	M	24	R
sub-015	M	21	R
sub-016	F	19	R
sub-017	F	23	R
sub-018	M	22	R
sub-019	F	22	R
sub-020	M	25	R
sub-021	F	25	R
sub-022	F	25	R
sub-023	M	25	R
sub-024	M	23	R
sub-025	M	24	R
sub-026	M	27	R
sub-027	M	25	R
sub-028	M	24	R
sub-029	M	22	R
sub-030	F	23	R
sub-031	M	30	R
sub-032	F	21	R
sub-033	F	21	R
sub-034	F	21	R
sub-035	F	21	R
sub-036	F	24	R
sub-037	F	23	R
sub-038	F	23	R
sub-039	F	21	R
sub-040	M	23	R
sub-041	F	20	R
sub-042	F	20	R
sub-043	M	20	R
sub-044	M	20	R
sub-045	M	24	R
sub-046	M	24	R
sub-047	M	17	R
sub-048	M	24	R
sub-049	M	23	R
sub-050	M	25	R
sub-051	M	23	R
sub-052	M	23	R
