name	type	units
Fpz	EEG	uV
Fp1	EEG	uV
Fp2	EEG	uV
AF3	EEG	uV
AF4	EEG	uV
AF7	EEG	uV
AF8	EEG	uV
Fz	EEG	uV
F1	EEG	uV
F2	EEG	uV
F3	EEG	uV
F4	EEG	uV
F5	EEG	uV
F6	EEG	uV
F7	EEG	uV
F8	EEG	uV
FCz	EEG	uV
FC1	EEG	uV
FC2	EEG	uV
FC3	EEG	uV
FC4	EEG	uV
FC5	EEG	uV
FC6	EEG	uV
FT7	EEG	uV
FT8	EEG	uV
Cz	EEG	uV
C1	EEG	uV
C2	EEG	uV
C3	EEG	uV
C4	EEG	uV
C5	EEG	uV
C6	EEG	uV
T7	EEG	uV
T8	EEG	uV
CP1	EEG	uV
CP2	EEG	uV
CP3	EEG	uV
CP4	EEG	uV
CP5	EEG	uV
CP6	EEG	uV
TP7	EEG	uV
TP8	EEG	uV
Pz	EEG	uV
P3	EEG	uV
P4	EEG	uV
P5	EEG	uV
P6	EEG	uV
P7	EEG	uV
P8	EEG	uV
POz	EEG	uV
PO3	EEG	uV
PO4	EEG	uV
PO5	EEG	uV
PO6	EEG	uV
PO7	EEG	uV
PO8	EEG	uV
Oz	EEG	uV
O1	EEG	uV
O2	EEG	uV
